Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,EventName,SessionName,EventFormat,RoundNumber
0 days 01:34:22.934000,30.0,24.4,1015.1,False,40.5,352,0.7,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:35:23.260000,30.2,24.3,1015.1,False,40.3,210,1.1,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:36:23.328000,30.2,24.3,1015.1,False,40.3,210,1.1,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:37:23.488000,30.1,24.6,1015.0,False,40.3,214,0.3,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:38:23.005000,30.0,24.3,1015.0,False,39.8,208,1.1,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:39:23.168000,30.0,24.3,1015.0,False,39.8,208,1.1,2018,Australian Grand Prix,FP2,conventional,1
0 days 01:40:22.915000,30.0,24.4,1015.0,False,39.8,199,0.4,2018,Australian Grand Prix,FP2,conventional,1
0 days 00:00:24.964000,25.3,36.7,1020.2,False,38.5,330,2.6,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:01:24.977000,25.4,36.9,1020.0,False,38.5,308,2.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:02:24.990000,25.2,36.8,1020.1,False,38.5,305,2.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:03:25.002000,25.3,36.1,1020.1,False,38.5,305,2.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:04:25.014000,25.4,35.9,1020.0,False,38.6,325,2.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:05:25.026000,25.4,36.6,1020.1,False,38.7,325,2.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:06:25.039000,25.4,36.4,1020.0,False,38.9,301,2.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:07:25.050000,25.5,36.5,1020.1,False,38.9,334,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:08:25.062000,25.4,36.5,1020.0,False,39.0,298,1.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:09:25.075000,25.5,36.3,1020.0,False,39.4,312,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:10:25.155000,25.6,35.6,1019.9,False,39.6,334,2.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:11:25.095000,25.4,35.9,1020.0,False,39.6,331,2.1,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:12:25.106000,25.3,36.6,1019.9,False,39.6,320,2.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:13:25.118000,25.4,36.5,1019.8,False,39.6,294,2.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:14:25.269000,25.7,35.8,1019.7,False,39.7,305,3.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:15:25.450000,25.8,35.3,1019.8,False,39.7,324,2.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:16:25.150000,25.9,35.2,1019.8,False,39.7,329,2.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:17:25.159000,25.9,35.4,1019.8,False,40.0,324,2.2,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:18:25.169000,25.8,35.8,1019.8,False,40.1,299,2.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:19:25.180000,25.8,36.3,1019.8,False,40.2,300,1.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:20:25.191000,25.8,35.9,1019.7,False,40.3,281,2.2,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:21:25.205000,25.8,36.3,1019.7,False,40.4,306,2.0,2018,Australian Grand Prix,FP1,conventional,1
